"Id";"Region";"ActivityHour";"StepTotal";"Calories";"TotalIntensity";"AverageIntensity"
3977333714;"West";"2016-05-05 02:00:00";0;42;0;0
3977333714;"West";"2016-05-05 04:00:00";0;42;0;0
3977333714;"West";"2016-05-05 08:00:00";7;44;1;0
3977333714;"West";"2016-05-05 20:00:00";277;60;12;0
3977333714;"West";"2016-05-05 22:00:00";3792;194;113;2
4020332650;"East";"2016-05-05 05:00:00";0;83;0;0
4020332650;"East";"2016-05-05 07:00:00";0;83;0;0
4020332650;"East";"2016-05-05 16:00:00";2737;346;93;2
4020332650;"East";"2016-05-05 18:00:00";1953;316;68;1
4020332650;"East";"2016-05-05 21:00:00";1197;246;45;1
4319703577;"North";"2016-05-05 01:00:00";0;61;0;0
4319703577;"North";"2016-05-05 05:00:00";1950;205;53;1
4319703577;"North";"2016-05-05 07:00:00";330;92;15;0
4319703577;"North";"2016-05-05 09:00:00";165;76;7;0
4319703577;"North";"2016-05-05 17:00:00";152;82;11;0
4388161847;"North";"2016-05-05 13:00:00";130;94;3;0
4388161847;"North";"2016-05-05 13:00:00";130;94;3;0
4388161847;"North";"2016-05-05 16:00:00";1259;229;52;1
4388161847;"North";"2016-05-05 16:00:00";1259;229;52;1
4388161847;"North";"2016-05-05 19:00:00";534;135;18;0
4388161847;"North";"2016-05-05 19:00:00";534;135;18;0
4388161847;"North";"2016-05-05 23:00:00";0;78;0;0
4388161847;"North";"2016-05-05 23:00:00";0;78;0;0
4445114986;"North";"2016-05-05 02:00:00";0;69;0;0
4445114986;"North";"2016-05-05 02:00:00";0;69;0;0
4445114986;"North";"2016-05-05 03:00:00";0;69;0;0
4445114986;"North";"2016-05-05 03:00:00";0;69;0;0
4445114986;"North";"2016-05-05 10:00:00";0;70;0;0
4445114986;"North";"2016-05-05 10:00:00";0;70;0;0
4445114986;"North";"2016-05-05 12:00:00";210;99;13;0
4445114986;"North";"2016-05-05 12:00:00";210;99;13;0
4445114986;"North";"2016-05-05 19:00:00";372;107;16;0
4445114986;"North";"2016-05-05 19:00:00";372;107;16;0
4558609924;"North";"2016-05-05 05:00:00";0;56;0;0
4558609924;"North";"2016-05-05 05:00:00";0;56;0;0
4558609924;"North";"2016-05-05 07:00:00";140;83;13;0
4558609924;"North";"2016-05-05 07:00:00";140;83;13;0
4558609924;"North";"2016-05-05 13:00:00";244;86;12;0
4558609924;"North";"2016-05-05 13:00:00";244;86;12;0
4558609924;"North";"2016-05-05 17:00:00";768;127;35;1
4558609924;"North";"2016-05-05 17:00:00";768;127;35;1
4558609924;"North";"2016-05-05 19:00:00";444;109;32;1
4558609924;"North";"2016-05-05 19:00:00";444;109;32;1
1503960366;"South";"2016-05-05 00:00:00";70;56;6;0
1503960366;"South";"2016-05-05 03:00:00";0;47;0;0
1503960366;"South";"2016-05-05 06:00:00";8;49;1;0
1503960366;"South";"2016-05-05 19:00:00";348;82;20;0
1624580081;"West";"2016-05-05 00:00:00";0;50;0;0
1624580081;"West";"2016-05-05 06:00:00";116;56;3;0
1624580081;"West";"2016-05-05 07:00:00";0;51;1;0
1624580081;"West";"2016-05-05 08:00:00";0;50;0;0
1624580081;"West";"2016-05-05 12:00:00";97;67;14;0
1624580081;"West";"2016-05-05 16:00:00";48;55;3;0
1644430081;"East";"2016-05-05 03:00:00";0;84;0;0
1644430081;"East";"2016-05-05 08:00:00";475;122;8;0
1644430081;"East";"2016-05-05 10:00:00";0;84;0;0
1644430081;"East";"2016-05-05 17:00:00";631;135;9;0
1844505072;"South";"2016-05-05 08:00:00";0;56;0;0
1844505072;"South";"2016-05-05 09:00:00";0;56;0;0
1844505072;"South";"2016-05-05 13:00:00";464;102;22;0
1844505072;"South";"2016-05-05 16:00:00";0;56;0;0
1844505072;"South";"2016-05-05 23:00:00";0;56;0;0
1927972279;"East";"2016-05-05 08:00:00";0;86;0;0
1927972279;"East";"2016-05-05 11:00:00";0;86;0;0
1927972279;"East";"2016-05-05 14:00:00";0;86;0;0
1927972279;"East";"2016-05-05 15:00:00";0;86;0;0
1927972279;"East";"2016-05-05 22:00:00";0;86;0;0
1927972279;"East";"2016-05-05 23:00:00";0;86;0;0
2022484408;"East";"2016-05-05 00:00:00";0;62;0;0
2022484408;"East";"2016-05-05 02:00:00";0;62;0;0
2022484408;"East";"2016-05-05 07:00:00";0;62;0;0
2022484408;"East";"2016-05-05 10:00:00";1305;326;100;2
2022484408;"East";"2016-05-05 11:00:00";666;133;28;0
2022484408;"East";"2016-05-05 13:00:00";190;82;7;0
2022484408;"East";"2016-05-05 15:00:00";2384;214;72;1
2022484408;"East";"2016-05-05 17:00:00";414;110;19;0
2022484408;"East";"2016-05-05 19:00:00";322;92;13;0
2022484408;"East";"2016-05-05 21:00:00";0;62;0;0
2022484408;"East";"2016-05-05 22:00:00";0;62;0;0
2026352035;"North";"2016-05-05 00:00:00";0;47;0;0
2026352035;"North";"2016-05-05 04:00:00";0;47;0;0
2026352035;"North";"2016-05-05 07:00:00";580;83;20;0
2026352035;"North";"2016-05-05 09:00:00";857;105;35;1
2026352035;"North";"2016-05-05 12:00:00";1196;117;38;1
2026352035;"North";"2016-05-05 13:00:00";1494;128;41;1
2026352035;"North";"2016-05-05 14:00:00";379;74;16;0
2320127002;"North";"2016-05-05 01:00:00";0;55;0;0
2320127002;"North";"2016-05-05 02:00:00";0;55;0;0
2320127002;"North";"2016-05-05 05:00:00";0;55;0;0
2320127002;"North";"2016-05-05 10:00:00";601;108;27;0
2320127002;"North";"2016-05-05 13:00:00";98;68;8;0
2320127002;"North";"2016-05-05 16:00:00";0;55;0;0
2320127002;"North";"2016-05-05 21:00:00";219;75;11;0
2320127002;"North";"2016-05-05 22:00:00";58;62;4;0
2873212765;"North";"2016-05-05 20:00:00";0;54;1;0
3977333714;"West";"2016-05-05 07:00:00";17;44;2;0
3977333714;"West";"2016-05-05 09:00:00";267;61;13;0
